District,Block,Village,Year,OID_,total_household,household_with_connection,connection_percentage
East Khasi Hills,Mawphlang,Mawlumneng,2022-2023,462218,88,88,100.0
East Khasi Hills,Mawphlang,Mawngap Dukan,2022-2023,462219,101,101,100.0
East Khasi Hills,Mawphlang,Mawprem Lumpyllun,2022-2023,462220,22,22,100.0
East Khasi Hills,Mawphlang,Mawpunneng,2022-2023,462221,62,62,100.0
East Khasi Hills,Mawphlang,Mawtap Pyllun,2022-2023,462222,61,61,100.0
East Khasi Hills,Mawphlang,Mawthwan,2022-2023,462223,192,192,100.0
East Khasi Hills,Mawphlang,Nongbah Sohiong,2022-2023,462224,66,66,100.0
East Khasi Hills,Mawphlang,Nongbsap B,2022-2023,462225,61,61,100.0
East Khasi Hills,Mawphlang,Nongrum (mawphlang),2022-2023,462226,120,120,100.0
East Khasi Hills,Mawphlang,Phanbhur,2022-2023,462227,28,28,100.0
East Khasi Hills,Mawphlang,Pyndengkhah,2022-2023,462228,61,61,100.0
East Khasi Hills,Mawphlang,Rimshylla,2022-2023,462229,45,45,100.0
East Khasi Hills,Mawphlang,Sawlad Marbisu,2022-2023,462230,72,72,100.0
East Khasi Hills,Mawphlang,Shilliang Donki,2022-2023,462231,138,138,100.0
East Khasi Hills,Mawphlang,Shilliang Ktieh,2022-2023,462232,37,37,100.0
East Khasi Hills,Mawphlang,Spar Sohiong,2022-2023,462233,39,39,100.0
East Khasi Hills,Mawphlang,Surok Spar Sohiong,2022-2023,462234,39,39,100.0
East Khasi Hills,Mawphlang,Ummylle,2022-2023,462235,98,98,100.0
East Khasi Hills,Mawphlang,Umsawmat,2022-2023,462236,116,116,100.0
East Khasi Hills,Mawphlang,Umsier,2022-2023,462237,45,45,100.0
East Khasi Hills,Mawryngkneng,Kruin,2022-2023,462238,95,95,100.0
East Khasi Hills,Mawryngkneng,Ksehpongdeng,2022-2023,462239,276,276,100.0
East Khasi Hills,Mawryngkneng,Kut,2022-2023,462240,345,345,100.0
East Khasi Hills,Mawryngkneng,Laitkseh,2022-2023,462241,140,140,100.0
East Khasi Hills,Mawryngkneng,Mawlyndep,2022-2023,462242,155,155,100.0
East Khasi Hills,Mawryngkneng,Niur,2022-2023,462243,110,110,100.0
East Khasi Hills,Mawryngkneng,Sohryngkham,2022-2023,462244,1162,1162,100.0
East Khasi Hills,Mawryngkneng,Thadan,2022-2023,462245,296,296,100.0
East Khasi Hills,Mawryngkneng,Umsaw,2022-2023,462246,60,60,100.0
East Khasi Hills,Mawryngkneng,Wahsurie,2022-2023,462247,1,1,100.0
East Khasi Hills,Mawryngkneng,Warmatlah,2022-2023,462248,17,17,100.0
East Khasi Hills,Mawsynram,Janiaw,2022-2023,462249,19,19,100.0
East Khasi Hills,Mawsynram,Kandapara,2022-2023,462250,44,44,100.0
East Khasi Hills,Mawsynram,Kenmynsaw,2022-2023,462251,225,225,100.0
East Khasi Hills,Mawsynram,Khliehriat,2022-2023,462252,25,25,100.0
East Khasi Hills,Mawsynram,Kyrdoh,2022-2023,462253,331,331,100.0
East Khasi Hills,Mawsynram,Ladkrem Mawpyllun,2022-2023,462254,26,26,100.0
East Khasi Hills,Mawsynram,Laitmawsiang,2022-2023,462255,150,150,100.0
East Khasi Hills,Mawsynram,Mawdngiem,2022-2023,462256,19,19,100.0
East Khasi Hills,Mawsynram,Mawsynram Dongneng,2022-2023,462257,221,221,100.0
East Khasi Hills,Mawsynram,Mawsynram Dongrum,2022-2023,462258,320,320,100.0
East Khasi Hills,Mawsynram,Phodstein Dong Neng,2022-2023,462259,45,45,100.0
East Khasi Hills,Mawsynram,Phodstein Dongrum,2022-2023,462260,75,75,100.0
East Khasi Hills,Mawsynram,Pyndendakni,2022-2023,462261,70,70,100.0
East Khasi Hills,Mawsynram,Sohklong,2022-2023,462262,33,33,100.0
East Khasi Hills,Mawsynram,Tyngnger,2022-2023,462263,148,148,100.0
East Khasi Hills,Mawsynram,Umlynter Balat,2022-2023,462264,21,21,100.0
East Khasi Hills,Mylliem,6th Mile Farm,2022-2023,462265,92,92,100.0
East Khasi Hills,Mylliem,Dewsaw Mawrishan,2022-2023,462266,38,38,100.0
East Khasi Hills,Mylliem,Kreit,2022-2023,462267,100,100,100.0
East Khasi Hills,Mylliem,Kreit Nongshilliang,2022-2023,462268,74,74,100.0
East Khasi Hills,Mylliem,Laitmynsaw,2022-2023,462269,45,45,100.0
East Khasi Hills,Mylliem,Lawmei,2022-2023,462270,248,248,100.0
East Khasi Hills,Mylliem,Lawmei Pdengshnong,2022-2023,462271,105,105,100.0
East Khasi Hills,Mylliem,Nonglyngkien,2022-2023,462272,42,42,100.0
East Khasi Hills,Mylliem,Nongsawiing Pdengshnong,2022-2023,462273,57,57,100.0
East Khasi Hills,Mylliem,Nongsawing,2022-2023,462274,28,28,100.0
East Khasi Hills,Mylliem,Pombot,2022-2023,462275,58,58,100.0
East Khasi Hills,Pynursla,Burma,2022-2023,462276,55,55,100.0
East Khasi Hills,Pynursla,Dewsaw Pathaw,2022-2023,462277,80,80,100.0
East Khasi Hills,Pynursla,Dymmiew,2022-2023,462278,44,44,100.0
East Khasi Hills,Pynursla,Hat Thymmai,2022-2023,462279,44,44,100.0
East Khasi Hills,Pynursla,Kongwang,2022-2023,462280,111,111,100.0
East Khasi Hills,Pynursla,Korblang,2022-2023,462281,87,87,100.0
East Khasi Hills,Pynursla,Kynton Sa-ir,2022-2023,462282,45,45,100.0
East Khasi Hills,Pynursla,Ladmawkhap,2022-2023,462283,1,1,100.0
East Khasi Hills,Pynursla,Lumpungshyrngan,2022-2023,462284,80,80,100.0
East Khasi Hills,Pynursla,Lumwahniai,2022-2023,462285,96,96,100.0
East Khasi Hills,Pynursla,Lumpungsniang,2022-2023,462286,6,6,100.0
East Khasi Hills,Pynursla,Lyngkhat,2022-2023,462287,23,23,100.0
East Khasi Hills,Pynursla,Lyngkhong,2022-2023,462288,17,17,100.0
East Khasi Hills,Pynursla,Lyngngai,2022-2023,462289,24,24,100.0
East Khasi Hills,Pynursla,Lyting Lyngdoh,2022-2023,462290,121,121,100.0
East Khasi Hills,Pynursla,Massar,2022-2023,462291,75,75,100.0
East Khasi Hills,Pynursla,Mawah,2022-2023,462292,50,50,100.0
East Khasi Hills,Pynursla,Mawdang,2022-2023,462293,185,185,100.0
East Khasi Hills,Pynursla,Mawkajem,2022-2023,462294,70,70,100.0
East Khasi Hills,Pynursla,Mawkhap,2022-2023,462295,160,160,100.0
East Khasi Hills,Pynursla,Mawlyngkhai,2022-2023,462296,1,1,100.0
East Khasi Hills,Pynursla,Mawpran,2022-2023,462297,230,230,100.0
East Khasi Hills,Pynursla,Mawpyrthuh,2022-2023,462298,42,42,100.0
East Khasi Hills,Pynursla,Mawriang,2022-2023,462299,131,131,100.0
East Khasi Hills,Pynursla,Mawryngkang,2022-2023,462300,112,112,100.0
East Khasi Hills,Pynursla,Mawsiang Nongshken,2022-2023,462301,121,121,100.0
East Khasi Hills,Pynursla,Myllat,2022-2023,462302,156,156,100.0
East Khasi Hills,Pynursla,Mynrieng (nashain),2022-2023,462303,6,6,100.0
East Khasi Hills,Pynursla,Nashain,2022-2023,462304,30,30,100.0
East Khasi Hills,Pynursla,Nohwet,2022-2023,462305,384,384,100.0
East Khasi Hills,Pynursla,Nongjribah,2022-2023,462306,130,130,100.0
East Khasi Hills,Pynursla,Nongjri Tluh,2022-2023,462307,270,270,100.0
East Khasi Hills,Pynursla,Nongjri War,2022-2023,462308,145,145,100.0
East Khasi Hills,Pynursla,Nongkhaiwui,2022-2023,462309,11,11,100.0
East Khasi Hills,Pynursla,Nongkyndah,2022-2023,462310,59,59,100.0
East Khasi Hills,Pynursla,Nongshken,2022-2023,462311,379,379,100.0
East Khasi Hills,Pynursla,Nongsohphan,2022-2023,462312,105,105,100.0
East Khasi Hills,Pynursla,Nongthymmai (kyndiar),2022-2023,462313,22,22,100.0
East Khasi Hills,Pynursla,Nongthymmai(umniuh),2022-2023,462314,27,27,100.0
East Khasi Hills,Pynursla,Nongtyngur,2022-2023,462315,310,310,100.0
East Khasi Hills,Pynursla,Pashum,2022-2023,462316,60,60,100.0
East Khasi Hills,Pynursla,Phlangtyngur,2022-2023,462317,97,97,100.0
East Khasi Hills,Pynursla,Pomshutia,2022-2023,462318,217,217,100.0
East Khasi Hills,Pynursla,Pongtung,2022-2023,462319,158,158,100.0
East Khasi Hills,Pynursla,Pynter,2022-2023,462320,418,418,100.0
East Khasi Hills,Pynursla,Pyrdiwah,2022-2023,462321,116,116,100.0
East Khasi Hills,Pynursla,Rana,2022-2023,462322,29,29,100.0
East Khasi Hills,Pynursla,Rangthylliang,2022-2023,462323,126,126,100.0
East Khasi Hills,Pynursla,Ri Massar,2022-2023,462324,60,60,100.0
East Khasi Hills,Pynursla,Rimai,2022-2023,462325,17,17,100.0
East Khasi Hills,Pynursla,Ringer,2022-2023,462326,23,23,100.0
East Khasi Hills,Pynursla,Siatbakon,2022-2023,462327,216,216,100.0
East Khasi Hills,Pynursla,Sohlong,2022-2023,462328,78,78,100.0
East Khasi Hills,Pynursla,Tangmang,2022-2023,462329,361,361,100.0
East Khasi Hills,Pynursla,Thangjuban,2022-2023,462330,50,50,100.0
East Khasi Hills,Pynursla,Thiepskai,2022-2023,462331,21,21,100.0
East Khasi Hills,Pynursla,Tishang,2022-2023,462332,50,50,100.0
East Khasi Hills,Pynursla,Tyngkei,2022-2023,462333,42,42,100.0
East Khasi Hills,Pynursla,Tynriang,2022-2023,462334,87,87,100.0
East Khasi Hills,Pynursla,Umkrem,2022-2023,462335,161,161,100.0
East Khasi Hills,Pynursla,Umniuh- Iarbniaw,2022-2023,462336,200,200,100.0
East Khasi Hills,Pynursla,Umniuh-nongrim,2022-2023,462337,139,139,100.0
East Khasi Hills,Pynursla,Wahjarem,2022-2023,462338,35,35,100.0
East Khasi Hills,Pynursla,Wahkdait,2022-2023,462339,222,222,100.0
East Khasi Hills,Pynursla,Wahkhen,2022-2023,462340,309,309,100.0
East Khasi Hills,Pynursla,Wahsherkhmut,2022-2023,462341,31,31,100.0
East Khasi Hills,Pynursla,Wahumlein,2022-2023,462342,94,94,100.0
East Khasi Hills,Pynursla,Weikyian,2022-2023,462343,60,60,100.0
East Khasi Hills,Shella Bholaganj,Bholaganj Bazar,2022-2023,462344,382,382,100.0
East Khasi Hills,Shella Bholaganj,Chakla-basti,2022-2023,462345,46,46,100.0
East Khasi Hills,Shella Bholaganj,Dhorombasti,2022-2023,462346,175,175,100.0
East Khasi Hills,Shella Bholaganj,Diengkain (tyllap),2022-2023,462347,22,22,100.0
East Khasi Hills,Shella Bholaganj,Diengsiar-mawlong,2022-2023,462348,131,131,100.0
East Khasi Hills,Shella Bholaganj,Ishamati,2022-2023,462349,125,125,100.0
East Khasi Hills,Shella Bholaganj,Khah-ka-ngi,2022-2023,462350,67,67,100.0
East Khasi Hills,Shella Bholaganj,Khliehumlong,2022-2023,462351,19,19,100.0
East Khasi Hills,Shella Bholaganj,Kingshympet,2022-2023,462352,13,13,100.0
East Khasi Hills,Shella Bholaganj,Lad Ryngud,2022-2023,462353,44,44,100.0
East Khasi Hills,Shella Bholaganj,Ladsohbar,2022-2023,462354,35,35,100.0
East Khasi Hills,Shella Bholaganj,Maweitksar,2022-2023,462355,16,16,100.0
East Khasi Hills,Shella Bholaganj,Mawiong,2022-2023,462356,39,39,100.0
East Khasi Hills,Shella Bholaganj,Mawphir,2022-2023,462357,69,69,100.0
East Khasi Hills,Shella Bholaganj,Mawphu,2022-2023,462358,167,167,100.0
East Khasi Hills,Shella Bholaganj,Mawsiangei,2022-2023,462359,62,62,100.0
East Khasi Hills,Shella Bholaganj,Nayabasti,2022-2023,462360,199,199,100.0
East Khasi Hills,Shella Bholaganj,Nohkalikai,2022-2023,462361,240,240,100.0
East Khasi Hills,Shella Bholaganj,Nongduh,2022-2023,462362,58,58,100.0
East Khasi Hills,Shella Bholaganj,Nongla,2022-2023,462363,49,49,100.0
East Khasi Hills,Shella Bholaganj,Pamramdah,2022-2023,462364,14,14,100.0
East Khasi Hills,Shella Bholaganj,Ri-ngur,2022-2023,462365,34,34,100.0
East Khasi Hills,Shella Bholaganj,Sohkhmie,2022-2023,462366,65,65,100.0
East Khasi Hills,Shella Bholaganj,Umblai,2022-2023,462367,34,34,100.0
East Khasi Hills,Shella Bholaganj,Umdud,2022-2023,462368,45,45,100.0
East Khasi Hills,Shella Bholaganj,Umsohphie,2022-2023,462369,32,32,100.0
East Khasi Hills,Shella Bholaganj,Umwai,2022-2023,462370,135,135,100.0
East Khasi Hills,Shella Bholaganj,Wahkhim/sohsarat,2022-2023,462371,60,60,100.0
East Khasi Hills,Shella Bholaganj,Wahkrem,2022-2023,462372,44,44,100.0
North Garo Hills,Bajengdoba,Aruakgre,2022-2023,462373,123,123,100.0
North Garo Hills,Bajengdoba,Balmuri,2022-2023,462374,66,66,100.0
North Garo Hills,Bajengdoba,Bekbekgre Charadon,2022-2023,462375,36,36,100.0
North Garo Hills,Bajengdoba,Bollonggre Refugee,2022-2023,462376,64,64,100.0
North Garo Hills,Bajengdoba,Bolsong Sembalgre,2022-2023,462377,47,47,100.0
North Garo Hills,Bajengdoba,Bolsong Songma,2022-2023,462378,33,33,100.0
North Garo Hills,Bajengdoba,Chiram Christian Gittim,2022-2023,462379,26,26,100.0
North Garo Hills,Bajengdoba,Chiraragre,2022-2023,462380,50,50,100.0
North Garo Hills,Bajengdoba,Chisim Apal,2022-2023,462381,205,205,100.0
North Garo Hills,Bajengdoba,Dalmanggre,2022-2023,462382,138,138,100.0
North Garo Hills,Bajengdoba,Dingrepa,2022-2023,462383,67,67,100.0
North Garo Hills,Bajengdoba,Fakirmara,2022-2023,462384,29,29,100.0
North Garo Hills,Bajengdoba,Jetdoba Langapara,2022-2023,462385,44,44,100.0
North Garo Hills,Bajengdoba,Jetdoba Songgitcham,2022-2023,462386,67,67,100.0
North Garo Hills,Bajengdoba,Lower Mendal,2022-2023,462387,46,46,100.0
North Garo Hills,Bajengdoba,Mansinggre,2022-2023,462388,72,72,100.0
North Garo Hills,Bajengdoba,Mendal,2022-2023,462389,96,96,100.0
North Garo Hills,Bajengdoba,Merongdik,2022-2023,462390,50,50,100.0
North Garo Hills,Bajengdoba,Rem-katongri,2022-2023,462391,70,70,100.0
North Garo Hills,Bajengdoba,Rongjal,2022-2023,462392,50,50,100.0
North Garo Hills,Bajengdoba,Tekagre,2022-2023,462393,65,65,100.0
North Garo Hills,Bajengdoba,Tetulguri,2022-2023,462394,46,46,100.0
North Garo Hills,Bajengdoba,Upper Dengnanggre,2022-2023,462395,106,106,100.0
North Garo Hills,Bajengdoba,Upper Sualmari,2022-2023,462396,58,58,100.0
North Garo Hills,Kharkutta,Araiapal,2022-2023,462397,99,99,100.0
North Garo Hills,Kharkutta,Dilkang,2022-2023,462398,56,56,100.0
North Garo Hills,Kharkutta,Dobanggal,2022-2023,462399,49,49,100.0
North Garo Hills,Kharkutta,Ganggasa,2022-2023,462400,74,74,100.0
North Garo Hills,Kharkutta,Ildek Reserve,2022-2023,462401,106,106,100.0
North Garo Hills,Kharkutta,Jongki Gittim,2022-2023,462402,57,57,100.0
North Garo Hills,Kharkutta,Kentra,2022-2023,462403,41,41,100.0
North Garo Hills,Kharkutta,Lower Jambal,2022-2023,462404,50,50,100.0
North Garo Hills,Kharkutta,Matchadu,2022-2023,462405,46,46,100.0
North Garo Hills,Kharkutta,Rongchri,2022-2023,462406,74,74,100.0
North Garo Hills,Kharkutta,Soba-jambal,2022-2023,462407,87,87,100.0
North Garo Hills,Kharkutta,Tombuma,2022-2023,462408,53,53,100.0
North Garo Hills,Kharkutta,Warima,2022-2023,462409,21,21,100.0
North Garo Hills,Resubelpara,Ajasiram,2022-2023,462410,58,58,100.0
North Garo Hills,Resubelpara,Bangsiaga (alda),2022-2023,462411,53,53,100.0
North Garo Hills,Resubelpara,Bonggare Olbaknang,2022-2023,462412,70,70,100.0
North Garo Hills,Resubelpara,Boro Miapara,2022-2023,462413,129,129,100.0
North Garo Hills,Resubelpara,Galwangsa,2022-2023,462414,48,48,100.0
North Garo Hills,Resubelpara,Harinkata Bakra,2022-2023,462415,49,49,100.0
North Garo Hills,Resubelpara,Jolding,2022-2023,462416,13,13,100.0
North Garo Hills,Resubelpara,Nong Miapara,2022-2023,462417,12,12,100.0
North Garo Hills,Resubelpara,Okbima,2022-2023,462418,18,18,100.0
North Garo Hills,Resubelpara,Rading,2022-2023,462419,54,54,100.0
North Garo Hills,Resubelpara,Rangmangre,2022-2023,462420,30,30,100.0
North Garo Hills,Resubelpara,Wakso Nengsa,2022-2023,462421,52,52,100.0
Ri Bhoi,Jirang,Centre Village (new Jirang),2022-2023,462422,57,57,100.0
Ri Bhoi,Jirang,Mawskei Lum,2022-2023,462423,53,53,100.0
Ri Bhoi,Jirang,Mawskei Them,2022-2023,462424,101,101,100.0
Ri Bhoi,Jirang,Nonglum,2022-2023,462425,38,38,100.0
Ri Bhoi,Jirang,Nongdom Mawpliang,2022-2023,462426,93,93,100.0
Ri Bhoi,Jirang,Nongladew,2022-2023,462427,173,173,100.0
Ri Bhoi,Jirang,Nongsier,2022-2023,462428,60,60,100.0
Ri Bhoi,Jirang,Paham Ryngkang,2022-2023,462429,112,112,100.0
Ri Bhoi,Jirang,Tasku Rim,2022-2023,462430,78,78,100.0
Ri Bhoi,Jirang,Umiapkhla (nispara),2022-2023,462431,21,21,100.0
Ri Bhoi,Jirang,Umsaw,2022-2023,462432,100,100,100.0
Ri Bhoi,Jirang,Umsohbar,2022-2023,462433,183,183,100.0
Ri Bhoi,Jirang,Umsohpai,2022-2023,462434,26,26,100.0
Ri Bhoi,Jirang,Umsong,2022-2023,462435,184,184,100.0
Ri Bhoi,Jirang,Warmawsaw,2022-2023,462436,301,301,100.0
Ri Bhoi,Umling,Adgang,2022-2023,462437,115,115,100.0
Ri Bhoi,Umling,Borgang,2022-2023,462438,56,56,100.0
Ri Bhoi,Umling,Borkhatsari,2022-2023,462439,79,79,100.0
Ri Bhoi,Umling,Borkushi,2022-2023,462440,45,45,100.0
Ri Bhoi,Umling,Byrnihat,2022-2023,462441,95,95,100.0
Ri Bhoi,Umling,Dendral,2022-2023,462442,12,12,100.0
Ri Bhoi,Umling,Dulongnar,2022-2023,462443,56,56,100.0
Ri Bhoi,Umling,Himpala,2022-2023,462444,55,55,100.0
Ri Bhoi,Umling,Iewsier,2022-2023,462445,48,48,100.0
Ri Bhoi,Umling,Ingjal Thymmai,2022-2023,462446,20,20,100.0
Ri Bhoi,Umling,Jowe,2022-2023,462447,63,63,100.0
Ri Bhoi,Umling,Kbet Nongbri,2022-2023,462448,115,115,100.0
Ri Bhoi,Umling,Khmar Kharpati,2022-2023,462449,44,44,100.0
Ri Bhoi,Umling,Khulia,2022-2023,462450,68,68,100.0
Ri Bhoi,Umling,Pomkseh Kynton Phanram,2022-2023,462451,37,37,100.0
Ri Bhoi,Umling,Lalum Pam,2022-2023,462452,60,60,100.0
Ri Bhoi,Umling,Langphadur,2022-2023,462453,51,51,100.0
Ri Bhoi,Umling,Langpohdon,2022-2023,462454,44,44,100.0
Ri Bhoi,Umling,Lum Nongthymmai (byrnihat),2022-2023,462455,65,65,100.0
Ri Bhoi,Umling,Lumding,2022-2023,462456,43,43,100.0
Ri Bhoi,Umling,Manipur,2022-2023,462457,84,84,100.0
Ri Bhoi,Umling,Marmain,2022-2023,462458,110,110,100.0
Ri Bhoi,Umling,Mawkangi,2022-2023,462459,108,108,100.0
Ri Bhoi,Umling,Mawkhla,2022-2023,462460,54,54,100.0
Ri Bhoi,Umling,Mawsyntai,2022-2023,462461,52,52,100.0
Ri Bhoi,Umling,Nalapara,2022-2023,462462,44,44,100.0
Ri Bhoi,Umling,Narang,2022-2023,462463,108,108,100.0
Ri Bhoi,Umling,Nartap,2022-2023,462464,78,78,100.0
Ri Bhoi,Umling,Nerbong,2022-2023,462465,42,42,100.0
Ri Bhoi,Umling,Nonggagang,2022-2023,462466,26,26,100.0
Ri Bhoi,Umling,Nongkylla Khasi,2022-2023,462467,50,50,100.0
Ri Bhoi,Umling,Nongkylla Mikir,2022-2023,462468,24,24,100.0
Ri Bhoi,Umling,Nongrim Jyrmi,2022-2023,462469,40,40,100.0
Ri Bhoi,Umling,Nongtyrlaw,2022-2023,462470,70,70,100.0
Ri Bhoi,Umling,Paham Pdem,2022-2023,462471,82,82,100.0
Ri Bhoi,Umling,Pahamriniai,2022-2023,462472,123,123,100.0
Ri Bhoi,Umling,Paham Shiken,2022-2023,462473,58,58,100.0
Ri Bhoi,Umling,Purangang,2022-2023,462474,46,46,100.0
Ri Bhoi,Umling,Purdua Kharpati,2022-2023,462475,87,87,100.0
Ri Bhoi,Umling,Rongbeta,2022-2023,462476,43,43,100.0
Ri Bhoi,Umling,Rubber Ghuli,2022-2023,462477,20,20,100.0
Ri Bhoi,Umling,Sarikushi,2022-2023,462478,127,127,100.0
Ri Bhoi,Umling,Sohkpu,2022-2023,462479,18,18,100.0
Ri Bhoi,Umling,Sohtat,2022-2023,462480,53,53,100.0
Ri Bhoi,Umling,Topempaonglong,2022-2023,462481,68,68,100.0
Ri Bhoi,Umling,Umden Khasi,2022-2023,462482,74,74,100.0
Ri Bhoi,Umling,Umden Nongtluh,2022-2023,462483,112,112,100.0
Ri Bhoi,Umling,Umdu,2022-2023,462484,104,104,100.0
Ri Bhoi,Umling,Umkaduh,2022-2023,462485,182,182,100.0
Ri Bhoi,Umling,Umkon,2022-2023,462486,157,157,100.0
Ri Bhoi,Umling,Umkyrpiang,2022-2023,462487,84,84,100.0
Ri Bhoi,Umling,Umladoh,2022-2023,462488,41,41,100.0
Ri Bhoi,Umling,Umling Lambrang,2022-2023,462489,66,66,100.0
Ri Bhoi,Umling,Umngei,2022-2023,462490,12,12,100.0
Ri Bhoi,Umling,Umphieng,2022-2023,462491,55,55,100.0
Ri Bhoi,Umling,Umpyrdong,2022-2023,462492,64,64,100.0
Ri Bhoi,Umling,Umsarang,2022-2023,462493,34,34,100.0
Ri Bhoi,Umling,Umsarang,2022-2023,462494,34,34,100.0
Ri Bhoi,Umling,Umsaw Noldhi,2022-2023,462495,38,38,100.0
Ri Bhoi,Umling,Umsaw Nongbri,2022-2023,462496,275,275,100.0
Ri Bhoi,Umling,Umsehklieng,2022-2023,462497,46,46,100.0
Ri Bhoi,Umling,Umshit,2022-2023,462498,38,38,100.0
Ri Bhoi,Umling,Umsohma,2022-2023,462499,30,30,100.0
Ri Bhoi,Umling,Umta Thymmai,2022-2023,462500,27,27,100.0
Ri Bhoi,Umling,Umthangiong,2022-2023,462501,136,136,100.0
Ri Bhoi,Umling,Umwang Them,2022-2023,462502,60,60,100.0
Ri Bhoi,Umling,Upper Amjok,2022-2023,462503,76,76,100.0
Ri Bhoi,Umsning,Iamkhon,2022-2023,462504,75,75,100.0
Ri Bhoi,Umsning,Itsohpair,2022-2023,462505,115,115,100.0
Ri Bhoi,Umsning,Kdonghulu,2022-2023,462506,60,60,100.0
Ri Bhoi,Umsning,Kkhlawblei,2022-2023,462507,60,60,100.0
Ri Bhoi,Umsning,Kyrdem,2022-2023,462508,212,212,100.0
Ri Bhoi,Umsning,Kyrdeng,2022-2023,462509,78,78,100.0
Ri Bhoi,Umsning,Ladmawrong,2022-2023,462510,93,93,100.0
Ri Bhoi,Umsning,Ladumpih,2022-2023,462511,40,40,100.0
Ri Bhoi,Umsning,Liarkhla,2022-2023,462512,112,112,100.0
Ri Bhoi,Umsning,Lum Mushi,2022-2023,462513,37,37,100.0
Ri Bhoi,Umsning,Lum Mynri,2022-2023,462514,49,49,100.0
Ri Bhoi,Umsning,Lumsohphoh (lumshyiap),2022-2023,462515,45,45,100.0
Ri Bhoi,Umsning,Lumdaitkhla,2022-2023,462516,452,452,100.0
Ri Bhoi,Umsning,Lumdaitkhla B,2022-2023,462517,31,31,100.0
Ri Bhoi,Umsning,Lumdiengjri,2022-2023,462518,95,95,100.0
Ri Bhoi,Umsning,Lumrit,2022-2023,462519,102,102,100.0
Ri Bhoi,Umsning,Lumshyiap,2022-2023,462520,65,65,100.0
Ri Bhoi,Umsning,Lumsohpieng Bhoilymbong,2022-2023,462521,280,280,100.0
Ri Bhoi,Umsning,Madan Nonglakhiat,2022-2023,462522,187,187,100.0
Ri Bhoi,Umsning,Madan Rtiang,2022-2023,462523,37,37,100.0
Ri Bhoi,Umsning,Mairung Heh,2022-2023,462524,70,70,100.0
Ri Bhoi,Umsning,Mairung Pdeng,2022-2023,462525,40,40,100.0
Ri Bhoi,Umsning,Mawblang,2022-2023,462526,89,89,100.0
Ri Bhoi,Umsning,Mawdwar,2022-2023,462527,35,35,100.0
Ri Bhoi,Umsning,Mawknor,2022-2023,462528,37,37,100.0
Ri Bhoi,Umsning,Mawlwai,2022-2023,462529,90,90,100.0
Ri Bhoi,Umsning,Mawnohsynrum,2022-2023,462530,62,62,100.0
Ri Bhoi,Umsning,Mawpun,2022-2023,462531,246,246,100.0
Ri Bhoi,Umsning,Mawpun Kshaid,2022-2023,462532,132,132,100.0
Ri Bhoi,Umsning,Mawshut,2022-2023,462533,106,106,100.0
Ri Bhoi,Umsning,Mawsladiang,2022-2023,462534,33,33,100.0
Ri Bhoi,Umsning,Mawthei,2022-2023,462535,111,111,100.0
Ri Bhoi,Umsning,Mawtneng,2022-2023,462536,168,168,100.0
Ri Bhoi,Umsning,Nongkyndong Iapwar,2022-2023,462537,67,67,100.0
Ri Bhoi,Umsning,Nonglum,2022-2023,462538,230,230,100.0
Ri Bhoi,Umsning,Nongrim Umpohwin,2022-2023,462539,95,95,100.0
Ri Bhoi,Umsning,Nongthymmai Kyrdem,2022-2023,462540,165,165,100.0
Ri Bhoi,Umsning,Nongtraw Siej,2022-2023,462541,23,23,100.0
Ri Bhoi,Umsning,Pamphlang,2022-2023,462542,37,37,100.0
Ri Bhoi,Umsning,Pamriniai,2022-2023,462543,93,93,100.0
Ri Bhoi,Umsning,Pynthor,2022-2023,462544,170,170,100.0
Ri Bhoi,Umsning,Sain,2022-2023,462545,1,1,100.0
Ri Bhoi,Umsning,Sohliya Umsning,2022-2023,462546,76,76,100.0
Ri Bhoi,Umsning,Sohriewblei,2022-2023,462547,118,118,100.0
Ri Bhoi,Umsning,Sumer Latara,2022-2023,462548,60,60,100.0
Ri Bhoi,Umsning,Tyrso Nongkhyllep,2022-2023,462549,105,105,100.0
Ri Bhoi,Umsning,Umbang,2022-2023,462550,236,236,100.0
Ri Bhoi,Umsning,Umden Arka,2022-2023,462551,149,149,100.0
Ri Bhoi,Umsning,Umden Mission,2022-2023,462552,94,94,100.0
Ri Bhoi,Umsning,Umeit,2022-2023,462553,190,190,100.0
Ri Bhoi,Umsning,Umket,2022-2023,462554,215,215,100.0
Ri Bhoi,Umsning,Umnongkrem,2022-2023,462555,28,28,100.0
Ri Bhoi,Umsning,Umpohwin Nongnup,2022-2023,462556,85,85,100.0
Ri Bhoi,Umsning,Umpohwin Pdeng,2022-2023,462557,186,186,100.0
Ri Bhoi,Umsning,Umpung,2022-2023,462558,5,5,100.0
Ri Bhoi,Umsning,Umraling,2022-2023,462559,122,122,100.0
Ri Bhoi,Umsning,Umram Blei,2022-2023,462560,26,26,100.0
Ri Bhoi,Umsning,Umru,2022-2023,462561,27,27,100.0
Ri Bhoi,Umsning,Umsarang,2022-2023,462562,68,68,100.0
Ri Bhoi,Umsning,Umsawmadan,2022-2023,462563,88,88,100.0
Ri Bhoi,Umsning,Umsawriang,2022-2023,462564,81,81,100.0
Ri Bhoi,Umsning,Umshaproh Nonglamet,2022-2023,462565,84,84,100.0
Ri Bhoi,Umsning,Umshingktaid,2022-2023,462566,55,55,100.0
